scorer,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan
bodyparts,snout,snout,tailbase,tailbase,leftear,leftear,rightear,rightear
coords,x,y,x,y,x,y,x,y
labeled-data/pursuit-14_days_post_TN_C57-5-1/img0014.png,654.5872825525971,287.2710677312609,759.0421840371595,235.0436169889797,687.2294392665228,267.6857737029054,659.4836060596859,243.20415616746118
labeled-data/pursuit-14_days_post_TN_C57-5-1/img0568.png,444.045371747776,112.6355293117582,533.8113027110718,159.9666565469505,493.0086068186647,143.64557818998765,501.1691459971461,97.94655879049162
labeled-data/pursuit-14_days_post_TN_C57-5-1/img1222.png,821.0622817936184,45.71910804821039,706.8147332948782,155.07033303986168,765.5706153799446,73.46494125504728,793.3164485867815,107.73920580466927
labeled-data/pursuit-14_days_post_TN_C57-5-1/img1684.png,651.3230668812045,195.87302893226877,563.189243753605,256.2610188530315,613.7845866601899,163.23087221834305,612.1524788244936,199.13724460366143
labeled-data/pursuit-14_days_post_TN_C57-5-1/img2282.png,659.4836060596859,93.05023528340269,582.7745377819605,192.60881326087622,641.5304198670268,114.26763714745448,677.4367922523451,125.69239199732851
labeled-data/pursuit-14_days_post_TN_C57-5-1/img2958.png,546.8681653966421,432.5286651082305,563.189243753605,561.4651841282371,517.4902243541089,468.43503749354875,556.6608124108199,471.69925316494135
labeled-data/pursuit-14_days_post_TN_C57-5-1/img3599.png,,,,,582.7745377819605,288.9031755669572,597.4635083032271,252.99680318163882
labeled-data/pursuit-14_days_post_TN_C57-5-1/img3727.png,473.4233127903092,174.6556270682171,584.4066456176567,266.05366586720913,514.2260086827164,212.19410728923174,533.8113027110718,169.75930356112826
labeled-data/pursuit-14_days_post_TN_C57-5-1/img4346.png,741.0889978445002,505.97351771456334,646.4267433741156,584.3146938279851,724.7679194875374,541.8798900998817,754.1458605300705,563.0972919639335
labeled-data/pursuit-14_days_post_TN_C57-5-1/img4832.png,605.6240474817084,473.3313610006376,577.8782142748715,342.7627341449346,633.3698806885453,447.21763562949707,599.0956161389233,440.68920428671186
labeled-data/pursuit-14_days_post_TN_C57-5-1/img5169.png,,,661.1157138953822,156.70244087555795,,,550.1323810680346,117.53185281884703
labeled-data/pursuit-14_days_post_TN_C57-5-1/img5623.png,,,551.764488903731,282.374744224172,,,,
labeled-data/pursuit-14_days_post_TN_C57-5-1/img6208.png,701.9184097877894,595.7394486778592,734.5605665017151,427.63234160114155,726.4000273232336,559.8330762925409,693.7578706093079,554.936752785452
labeled-data/pursuit-14_days_post_TN_C57-5-1/img6644.png,494.640714654361,530.4551352500077,587.6708612890493,491.28454719329676,540.339734053857,519.0303804001337,528.914979203983,479.8597923434228
labeled-data/pursuit-14_days_post_TN_C57-5-1/img6917.png,,,633.3698806885453,190.97670542517994,577.8782142748715,215.4583229606243,572.9818907677827,181.18405841100218
labeled-data/pursuit-14_days_post_TN_C57-5-1/img7304.png,,,679.0689000880413,571.2578311424148,768.8348310513371,561.4651841282371,772.0990467227298,600.635772184948
labeled-data/pursuit-14_days_post_TN_C57-5-1/img7515.png,744.3532135158929,450.4818513008896,734.5605665017151,554.936752785452,729.6642429946263,478.22768450772645,768.8348310513371,478.22768450772645
labeled-data/pursuit-14_days_post_TN_C57-5-1/img7652.png,,,633.3698806885453,308.4884695953126,651.3230668812045,177.91984273960963,683.9652235951303,186.08038191809112
labeled-data/pursuit-14_days_post_TN_C57-5-1/img8254.png,574.613998603479,323.1774401165792,690.4936549379154,221.98675430340938,623.5772336743676,311.75268526670516,613.7845866601899,277.47842071708317
labeled-data/pursuit-14_days_post_TN_C57-5-1/img8601.png,790.0522329153889,293.799499074046,659.4836060596859,285.63895989556465,755.7779683657668,287.2710677312609,763.9385075442483,326.44165578797174
labeled-data/pursuit-14_days_post_TN_C57-5-2/img0286.png,798.2127720938703,133.85293117580989,646.4267433741156,151.80611736846902,759.0421840371595,122.42817632593585,767.2027232156408,158.33454871125423
labeled-data/pursuit-14_days_post_TN_C57-5-2/img0443.png,796.580664258174,618.5889583776072,728.03213515893,478.22768450772645,796.580664258174,577.7862624852,765.5706153799446,592.4752330064666
labeled-data/pursuit-14_days_post_TN_C57-5-2/img0630.png,778.6274780655149,538.6156744284891,631.737772852849,574.5220468138075,757.4100762014632,550.040429278363,763.9385075442483,577.7862624852
labeled-data/pursuit-14_days_post_TN_C57-5-2/img1860.png,527.2828713682867,494.54876286468937,551.764488903731,341.1306263092383,550.1323810680346,465.1708218221562,510.96179301132383,453.74606697228216
