scorer,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga
bodyparts,snout,snout,tailbase,tailbase,leftear,leftear,rightear,rightear
coords,x,y,x,y,x,y,x,y
labeled-data/pursuit-14_days_post_TN_C57-5-1/img0170.png,647.9969990258617,226.72599377808513,578.733887439902,100.02517990132935,637.8609339157213,184.49238915249987,605.7633944002764,204.7645193727808
labeled-data/pursuit-14_days_post_TN_C57-5-1/img0366.png,669.9584734311661,203.0751751877574,779.7658454576876,127.054686861704,707.1240455016812,199.6964868177106,698.6773245765642,170.97763567231266
labeled-data/pursuit-14_days_post_TN_C57-5-1/img0652.png,691.9199478364703,140.5694403418912,783.1445338277347,135.501407786821,712.1920780567514,181.11370078245307,734.1535524620556,150.70550545203173
labeled-data/pursuit-14_days_post_TN_C57-5-1/img0910.png,749.3576501272664,213.21124029789792,766.2510919775004,89.88911479118894,786.5232221977815,196.3177984476638,754.4256826823366,181.11370078245307
labeled-data/pursuit-14_days_post_TN_C57-5-1/img0919.png,747.668305942243,196.3177984476638,773.008468717594,86.51042642114214,781.4551896427113,192.939110077617,752.7363384973132,170.97763567231266
labeled-data/pursuit-14_days_post_TN_C57-5-1/img1104.png,745.9789617572196,532.4972912673225,786.5232221977815,380.45631461521555,773.008468717594,507.1571284919713,739.221585017126,505.4677843069478
labeled-data/pursuit-14_days_post_TN_C57-5-1/img1264.png,620.9674920654872,461.54483549633915,663.2010966910725,593.3136819281651,609.1420827703232,503.7784401219244,644.6183106558149,502.089095936901
labeled-data/pursuit-14_days_post_TN_C57-5-1/img1352.png,622.6568362505107,219.96861703799152,519.6068409640825,267.270254218647,582.1125758099488,189.56042170757007,575.3551990698552,228.41533796310853
labeled-data/pursuit-14_days_post_TN_C57-5-1/img1659.png,641.2396222857681,135.501407786821,485.8199572636143,137.1907519718444,602.3847060302296,113.53993338151668,,
labeled-data/pursuit-14_days_post_TN_C57-5-1/img1716.png,783.1445338277347,133.8120636017976,659.8224083210257,123.67599849165708,766.2510919775004,103.40386827137615,761.1830594224302,137.1907519718444
labeled-data/pursuit-14_days_post_TN_C57-5-1/img2103.png,516.2281525940357,591.6243377431417,521.2961851491059,437.8940169060114,541.5683153693869,567.9735191528141,507.78143166891863,562.9054865977438
labeled-data/pursuit-14_days_post_TN_C57-5-1/img2166.png,788.2125663828049,591.6243377431417,651.3756873959085,595.0030261131885,773.008468717594,579.7989284479779,767.9404361625238,611.8964679634228
labeled-data/pursuit-14_days_post_TN_C57-5-1/img2550.png,702.056012946611,209.832551927851,717.2601106118216,108.47190082644647,745.9789617572196,191.2497658925936,715.5707664267982,176.04566822738286
labeled-data/pursuit-14_days_post_TN_C57-5-1/img2762.png,658.1330641360023,520.6718819721585,735.842896647079,498.7104075668542,675.0265059862363,566.2841749677907,696.9879803915405,530.807947082299
labeled-data/pursuit-14_days_post_TN_C57-5-1/img2928.png,680.0945385413065,549.3907331175565,778.0765012726642,557.8374540426736,698.6773245765642,589.9349935581183,710.502733871728,554.4587656726268
labeled-data/pursuit-14_days_post_TN_C57-5-1/img3119.png,769.6297803475472,507.1571284919713,751.0469943122898,610.2071237783994,739.221585017126,532.4972912673225,769.6297803475472,547.7013889325331
labeled-data/pursuit-14_days_post_TN_C57-5-1/img3404.png,781.4551896427113,405.7964773905667,740.9109292021494,522.3612261571819,752.7363384973132,429.4472959808944,783.1445338277347,446.34073783112854
labeled-data/pursuit-14_days_post_TN_C57-5-1/img3723.png,729.0855199069854,618.6538447035164,764.561747792477,485.1956540866669,757.8043710523834,598.3817144832354,725.7068315369386,586.5563051880715
labeled-data/pursuit-14_days_post_TN_C57-5-1/img3944.png,734.1535524620556,500.3997517518776,745.9789617572196,605.139091223329,725.7068315369386,540.9440121924395,766.2510919775004,539.2546680074161
labeled-data/pursuit-14_days_post_TN_C57-5-1/img4118.png,710.502733871728,522.3612261571819,751.0469943122898,601.7604028532822,715.5707664267982,557.8374540426736,752.7363384973132,537.5653238223927
labeled-data/pursuit-14_days_post_TN_C57-5-1/img4796.png,,,615.899459510417,257.1341891085066,558.461757219621,182.80304496747647,587.180608365019,155.77353800710193
labeled-data/pursuit-14_days_post_TN_C57-5-1/img4862.png,538.1896269993401,128.7440310467274,610.8314269553466,250.37681236841286,528.0535618891995,152.39484963705513,556.7724130345975,140.5694403418912
labeled-data/pursuit-14_days_post_TN_C57-5-1/img5262.png,538.1896269993401,118.60796593658688,563.5297897746912,235.17271470320225,522.9855293341293,164.22025893221894,558.461757219621,162.53091474719554
